code,required,prop,type,priority,group,multichoice,priority
lt,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
lt,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
lu,1,oct.property.country,COUNTRY,83,oct.group.address,0,3
lu,1,oct.property.city,ALPHANUMERIC,84,oct.group.address,0,3
lu,1,oct.property.postal.code,ALPHANUMERIC,85,oct.group.address,0,3
lu,1,oct.property.street.number,LARGETEXT,86,oct.group.address,0,3
lu,1,oct.property.street,LARGETEXT,87,oct.group.address,0,3
lu,1,oct.property.date.of.birth,DATE,97,oct.group.general,0,2
lu,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
lu,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
lv,1,oct.property.personal.id,ALPHANUMERIC,0,oct.group.id,1,1
lv,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
lv,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
mt,1,oct.property.id.card,ALPHANUMERIC,0,oct.group.id,1,1
mt,1,oct.property.residence.permit,ALPHANUMERIC,0,oct.group.id,1,1
mt,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
mt,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
nl,1,oct.property.country,COUNTRY,83,oct.group.address,0,3
nl,1,oct.property.city,ALPHANUMERIC,84,oct.group.address,0,3
nl,1,oct.property.postal.code,ALPHANUMERIC,85,oct.group.address,0,3
nl,1,oct.property.street.number,LARGETEXT,86,oct.group.address,0,3
nl,1,oct.property.street,LARGETEXT,87,oct.group.address,0,3
nl,1,oct.property.date.of.birth,DATE,97,oct.group.general,0,2
nl,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
nl,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
pl,1,oct.property.national.id.number,ALPHANUMERIC,0,oct.group.id,1,1
pl,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
pl,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
pt,1,oct.property.citizens.card,ALPHANUMERIC,0,oct.group.id,1,1
pt,1,oct.property.passport,ALPHANUMERIC,0,oct.group.id,1,1
pt,1,oct.property.id.card,ALPHANUMERIC,0,oct.group.id,1,1
pt,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
pt,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
ro,1,oct.property.passport,ALPHANUMERIC,0,oct.group.id,1,1
ro,1,oct.property.id.card,ALPHANUMERIC,0,oct.group.id,1,1
ro,1,oct.property.personal.id,ALPHANUMERIC,0,oct.group.id,1,1
ro,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
ro,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
se,1,oct.property.personal.number,ALPHANUMERIC,0,oct.group.id,1,1
se,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
se,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
si,1,oct.property.personal.number,ALPHANUMERIC,0,oct.group.id,1,1
si,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
si,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
sk,1,oct.property.country,COUNTRY,83,oct.group.address,0,3
sk,1,oct.property.city,ALPHANUMERIC,84,oct.group.address,0,3
sk,1,oct.property.postal.code,ALPHANUMERIC,85,oct.group.address,0,3
sk,1,oct.property.street.number,LARGETEXT,86,oct.group.address,0,3
sk,1,oct.property.street,LARGETEXT,87,oct.group.address,0,3
sk,1,oct.property.date.of.birth,DATE,97,oct.group.general,0,2
sk,1,oct.property.family.names,ALPHANUMERIC,98,oct.group.general,0,2
sk,1,oct.property.full.first.names,ALPHANUMERIC,99,oct.group.general,0,2
